Filename,License,Author,Source
restrictions_end.svg,Public domain,"D0ktorz, Mediatus","https://commons.wikimedia.org/wiki/File:Zeichen_282_-_Ende_s%C3%A4mtlicher_Streckenverbote,_StVO_1970.svg"
speed_limit_*.svg,Public domain,"D0ktorz, Mediatus","https://commons.wikimedia.org/wiki/File:Zeichen_274-56_-_zul%C3%A4ssige_H%C3%B6chstgeschwindigkeit,_StVO_1992.svg"
